"Order","Class","Domain","Variable","Label","Type","ControlledTerms","Role","Core"
"39","Events","AE","AESLIFE","Is Life Threatening","Char","(NY)","Record Qualifier","Perm"
"40","Events","AE","AESOD","Occurred with Overdose","Char","(NY)","Record Qualifier","Perm"
"41","Events","AE","AESMIE","Other Medically Important Serious Event","Char","(NY)","Record Qualifier","Perm"
"42","Events","AE","AECONTRT","Concomitant or Additional Trtmnt Given","Char","(NY)","Record Qualifier","Perm"
"43","Events","AE","AETOXGR","Standard Toxicity Grade","Char","","Record Qualifier","Perm"
"44","Events","AE","AESTDTC","Start Date/Time of Adverse Event","Char","ISO 8601","Timing","Exp"
"45","Events","AE","AEENDTC","End Date/Time of Adverse Event","Char","ISO 8601","Timing","Exp"
"46","Events","AE","AESTDY","Study Day of Start of Adverse Event","Num","","Timing","Perm"
"47","Events","AE","AEENDY","Study Day of End of Adverse Event","Num","","Timing","Perm"
"48","Events","AE","AEDUR","Duration of Adverse Event","Char","ISO 8601","Timing","Perm"
"49","Events","AE","AEENRF","End Relative to Reference Period","Char","(STENRF)","Timing","Perm"
"50","Events","AE","AEENRTPT","End Relative to Reference Time Point","Char","(STENRF)","Timing","Perm"
"51","Events","AE","AEENTPT","End Reference Time Point","Char","","Timing","Perm"
"1","Events","CE","STUDYID","Study Identifier","Char","","Identifier","Req"
"2","Events","CE","DOMAIN","Domain Abbreviation","Char","(DOMAIN)","Identifier","Req"
"3","Events","CE","USUBJID","Unique Subject Identifier","Char","","Identifier","Req"
"4","Events","CE","CESEQ","Sequence Number","Num","","Identifier","Req"
"5","Events","CE","CEGRPID","Group ID","Char","","Identifier","Perm"
"6","Events","CE","CEREFID","Reference ID ","Char","","Identifier","Perm"
"7","Events","CE","CESPID","Sponsor-Defined Identifier","Char","","Identifier","Perm"
"8","Events","CE","CETERM","Reported Term for the Clinical Event","Char","","Topic","Req"
"9","Events","CE","CEDECOD","Dictionary-Derived Term","Char","","Synonym Qualifier","Perm"
"10","Events","CE","CECAT","Category for Clinical Event","Char","","Grouping Qualifier","Perm"
"11","Events","CE","CESCAT","Subcategory for Clinical Event","Char","","Grouping Qualifier","Perm"
"12","Events","CE","CEPRESP","Clinical Event Pre-Specified","Char","(NY)","Variable Qualifier","Perm"
"13","Events","CE","CEOCCUR","Clinical Event Occurrence","Char","(NY)","Record Qualifier","Perm"
"14","Events","CE","CESTAT","Completion Status","Char","(ND)","Record Qualifier","Perm"
"15","Events","CE","CEREASND","Reason Clinical Event Not Collected","Char","","Record Qualifier","Perm"
"16","Events","CE","CEBODSYS","Body System or Organ Class","Char","","Record Qualifier","Perm"
"17","Events","CE","CESEV","Severity/Intensity","Char","","Record Qualifier","Perm"
"18","Events","CE","CEDTC","Date/Time of Event Collection","Char","ISO 8601","Timing","Perm"
"19","Events","CE","CESTDTC","Start Date/Time of Clinical Event","Char","ISO 8601","Timing","Perm"
"20","Events","CE","CEENDTC","End Date/Time of Clinical Event","Char","ISO 8601","Timing","Perm"
"21","Events","CE","CEDY","Study Day of Event Collection","Num","","Timing","Perm"
"22","Events","CE","CESTRF","Start Relative to Reference Period","Char","(STENRF)","Timing","Perm"
"23","Events","CE","CEENRF","End Relative to Reference Period","Char","(STENRF)","Timing","Perm"
"24","Events","CE","CESTRTPT","Start Relative to Reference Time Point","Char","(STENRF)","Timing","Perm"
"25","Events","CE","CESTTPT","Start Reference Time Point","Char","","Timing","Perm"
"26","Events","CE","CEENRTPT","End Relative to Reference Time Point","Char","(STENRF)","Timing","Perm"
"27","Events","CE","CEENTPT","End Reference Time Point","Char","","Timing","Perm"
"1","Events","DS","STUDYID","Study Identifier","Char","","Identifier","Req"
"2","Events","DS","DOMAIN","Domain Abbreviation","Char","(DOMAIN)","Identifier","Req"
"3","Events","DS","USUBJID","Unique Subject Identifier","Char","","Identifier","Req"
"4","Events","DS","DSSEQ","Sequence Number","Num","","Identifier","Req"
"5","Events","DS","DSGRPID","Group ID","Char","","Identifier","Perm"
"6","Events","DS","DSREFID","Reference ID ","Char","","Identifier","Perm"
"7","Events","DS","DSSPID","Sponsor-Defined Identifier","Char","","Identifier","Perm"
"8","Events","DS","DSTERM","Reported Term for the Disposition Event","Char","","Topic","Req"
"9","Events","DS","DSDECOD","Standardized Disposition Term","Char","(NCOMPLT)","Synonym Qualifier","Req"
"10","Events","DS","DSCAT","Category for Disposition Event","Char","(DSCAT)","Grouping Qualifier","Exp "
"11","Events","DS","DSSCAT","Subcategory for Disposition Event","Char","","Grouping Qualifier","Perm"
"12","Events","DS","EPOCH","Epoch","Char","(EPOCH)","Timing","Perm"
"13","Events","DS","DSDTC","Date/Time of Collection","Char","ISO 8601","Timing","Perm"
"14","Events","DS","DSSTDTC","Start Date/Time of Disposition Event","Char","ISO 8601","Timing","Exp"
"15","Events","DS","DSSTDY","Study Day of Start of Disposition Event","Num","","Timing","Perm"
"1","Events","DV","STUDYID","Study Identifier","Char","","Identifier","Req"
"2","Events","DV","DOMAIN","Domain Abbreviation","Char","(DOMAIN)","Identifier","Req"
"3","Events","DV","USUBJID","Unique Subject Identifier","Char","","Identifier","Req"
"4","Events","DV","DVSEQ","Sequence Number","Num","","Identifier","Req"
"5","Events","DV","DVREFID","Reference ID ","Char","","Identifier","Perm"
"6","Events","DV","DVSPID","Sponsor-Defined Identifier","Char","","Identifier","Perm"
"7","Events","DV","DVTERM","Protocol Deviation Term","Char","","Topic","Req"
"8","Events","DV","DVDECOD","Protocol Deviation Coded Term","Char","","Synonym Qualifier","Perm"
"9","Events","DV","DVCAT","Category for Protocol Deviation","Char","","Grouping Qualifier","Perm"
"10","Events","DV","DVSCAT","Subcategory for Protocol Deviation","Char","","Grouping Qualifier","Perm"
"11","Events","DV","EPOCH","Epoch","Char","(EPOCH)","Timing","Perm"
"12","Events","DV","DVSTDTC","Start Date/Time of Deviation","Char","ISO 8601","Timing","Perm"
"13","Events","DV","DVENDTC","End Date/Time of Deviation","Char","ISO 8601","Timing","Perm"
"1","Events","MH","STUDYID","Study Identifier","Char","","Identifier","Req"
"2","Events","MH","DOMAIN","Domain Abbreviation","Char","(DOMAIN)","Identifier","Req"
"3","Events","MH","USUBJID","Unique Subject Identifier","Char","","Identifier","Req"
"4","Events","MH","MHSEQ","Sequence Number","Num","","Identifier","Req"
"5","Events","MH","MHGRPID","Group ID","Char","","Identifier","Perm"
"6","Events","MH","MHREFID","Reference ID ","Char","","Identifier","Perm"
"7","Events","MH","MHSPID","Sponsor-Defined Identifier","Char","","Identifier","Perm"
"8","Events","MH","MHTERM","Reported Term for the Medical History","Char","","Topic","Req"
"9","Events","MH","MHMODIFY","Modified Reported Term","Char","","Synonym Qualifier","Perm"
"10","Events","MH","MHDECOD","Dictionary-Derived Term","Char","","Synonym Qualifier","Perm"
"11","Events","MH","MHCAT","Category for Medical History","Char","","Grouping Qualifier","Perm"
"12","Events","MH","MHSCAT","Subcategory for Medical History","Char","","Grouping Qualifier","Perm"
"13","Events","MH","MHPRESP","Medical History Event Pre-Specified","Char","(NY)","Variable Qualifier of --TERM ","Perm"
"14","Events","MH","MHOCCUR","Medical History Occurrence","Char","(NY)","Record Qualifier","Perm"
"15","Events","MH","MHSTAT","Completion Status ","Char","(ND)","Record Qualifier","Perm"
"16","Events","MH","MHREASND","Reason Medical History Not Done or Not Occurred","Char","","Record Qualifier","Perm"
"17","Events","MH","MHBODSYS","Body System or Organ Class","Char","","Record Qualifier","Perm"
"18","Events","MH","MHDTC","Date/Time of History Collection","Char","ISO 8601","Timing","Perm"
"19","Events","MH","MHSTDTC","Start Date/Time of Medical History Event","Char","ISO 8601","Timing","Perm"
"20","Events","MH","MHENDTC","End Date/Time of Medical History Event","Char","ISO 8601","Timing","Perm"
"21","Events","MH","MHDY","Study Day of History Collection","Num","","Timing","Perm"
"22","Events","MH","MHENRF","End Relative to Reference Period","Char","(STENRF)","Timing","Perm"
"23","Events","MH","MHENRTPT","End Relative to Reference Time Point","Char","(ENRTPT)","Timing","Perm"
"24","Events","MH","MHENTPT","End Reference Time Point","Char","","Timing","Perm"
"1","Findings","DA","STUDYID","Study Identifier","Char","","Identifier","Req"
"2","Findings","DA","DOMAIN","Domain Abbreviation","Char","(DOMAIN)","Identifier","Req"
"3","Findings","DA","USUBJID","Unique Subject Identifier","Char","","Identifier","Req"
"4","Findings","DA","DASEQ","Sequence Number","Num","","Identifier","Req"
"5","Findings","DA","DAGRPID","Group ID","Char","","Identifier","Perm"
"6","Findings","DA","DAREFID","Reference ID","Char","","Identifier","Perm"
"7","Findings","DA","DASPID","Sponsor-Defined Identifier","Char","","Identifier","Perm"
"8","Findings","DA","DATESTCD","Short Name of Accountability Assessment","Char","","Topic","Req"
"9","Findings","DA","DATEST","Name of Accountability Assessment","Char","","Synonym Qualifier","Req"
"10","Findings","DA","DACAT","Category of Assessment","Char","","Grouping Qualifier","Perm"
"11","Findings","DA","DASCAT","Subcategory of Assessment","Char","","Grouping Qualifier","Perm"
"12","Findings","DA","DAORRES","Assessment Result in Original Units","Char","","Result Qualifier","Exp"
"13","Findings","DA","DAORRESU","Original Units","Char","(UNIT)","Variable Qualifier","Perm"
"14","Findings","DA","DASTRESC","Assessment Result in Std Format","Char","","Result Qualifier","Exp"
"15","Findings","DA","DASTRESN","Numeric Result/Finding in Standard Units","Num","","Result Qualifier","Perm"
"16","Findings","DA","DASTRESU","Assessment Standard Units","Char","(UNIT)","Variable Qualifier","Perm"
"17","Findings","DA","DASTAT","Completion Status","Char","(ND)","Record Qualifier","Perm"
"18","Findings","DA","DAREASND","Reason Not Performed","Char","","Record Qualifier","Perm"
"19","Findings","DA","VISITNUM","Visit Number","Num","","Timing","Exp"
"20","Findings","DA","VISIT","Visit Name","Char","","Timing","Perm"
"21","Findings","DA","VISITDY","Planned Study Day of Visit","Num","","Timing","Perm"
"22","Findings","DA","DADTC","Date/Time of Accountability Assessment","Char","ISO 8601","Timing","Exp"
"23","Findings","DA","DADY","Study Day of Accountability Assessment","Num","","Timing","Perm"
"1","Findings","DD","STUDYID","Study Identifier","Char","","Identifier","Req"
"2","Findings","DD","DOMAIN","Domain Abbreviation","Char","(DOMAIN)","Identifier","Req"
"3","Findings","DD","USUBJID","Unique Subject Identifier","Char","","Identifier","Req"
"4","Findings","DD","DDSEQ","Sequence Number","Num","","Identifier","Req"
"5","Findings","DD","DDTESTCD","Death Detail Assessment Short Name","Char","","Topic","Req"
"6","Findings","DD","DDTEST","Death Detail Assessment Name","Char","","Synonym Qualifier","Req"
"7","Findings","DD","DDORRES","Result or Finding as Collected","Char","","Result Qualifier","Exp"
"8","Findings","DD","DDSTRESC","Character Result/Finding in Std Format","Char","","Result Qualifier","Exp"
"9","Findings","DD","DDRESCAT","Result Category","Char","","Variable Qualifier","Perm"
"10","Findings","DD","DDEVAL","Evaluator","Char","(EVAL)","Record Qualifier","Perm"
"11","Findings","DD","DDDTC","Date/Time of Collection","Char","ISO 8601","Timing","Exp"
"12","Findings","DD","DDDY","Study Day of Collection","Num","","Timing","Perm"
"1","Findings","EG","STUDYID","Study Identifier","Char","","Identifier","Req"
"2","Findings","EG","DOMAIN","Domain Abbreviation","Char","(DOMAIN)","Identifier","Req"
"3","Findings","EG","USUBJID","Unique Subject Identifier","Char","","Identifier","Req"
"4","Findings","EG","EGSEQ","Sequence Number","Num","","Identifier","Req"
"5","Findings","EG","EGGRPID","Group ID","Char","","Identifier","Perm"
"6","Findings","EG","EGREFID","ECG Reference ID","Char","","Identifier","Perm"
"7","Findings","EG","EGSPID","Sponsor-Defined Identifier","Char","","Identifier","Perm"
"8","Findings","EG","EGTESTCD","ECG Test or Examination Short Name","Char","(EGTESTCD)","Topic","Req"
"9","Findings","EG","EGTEST","ECG Test or Examination Name","Char","(EGTEST)","Synonym Qualifier","Req"
"10","Findings","EG","EGCAT","Category for ECG","Char","","Grouping Qualifier","Perm"
"11","Findings","EG","EGSCAT","Subcategory for ECG","Char","","Grouping Qualifier","Perm"
"12","Findings","EG","EGPOS","ECG Position of Subject","Char","(POSITION)","Record Qualifier","Perm"
"13","Findings","EG","EGORRES","Result or Finding in Original Units","Char","","Result Qualifier","Exp"
"14","Findings","EG","EGORRESU","Original Units","Char","(UNIT)","Variable Qualifier ","Perm"
"15","Findings","EG","EGSTRESC","Character Result/Finding in Std Format","Char","(EGSTRESC)","Result Qualifier","Exp"
"16","Findings","EG","EGSTRESN","Numeric Result/Finding in Standard Units","Num","","Result Qualifier","Perm"
"17","Findings","EG","EGSTRESU","Standard Units","Char","(UNIT)","Variable Qualifier","Perm"
"18","Findings","EG","EGSTAT","Completion Status","Char","(ND)","Record Qualifier","Perm"
"19","Findings","EG","EGREASND","Reason ECG Not Performed","Char","","Record Qualifier","Perm"
"20","Findings","EG","EGXFN","ECG External File Path","Char","","Record Qualifier","Perm"
"21","Findings","EG","EGNAM","Vendor Name","Char","","Record Qualifier","Perm"
"22","Findings","EG","EGLEAD","Lead Location Used for Measurement","Char","(LOC)","Record Qualifier","Perm"
"23","Findings","EG","EGMETHOD","Method of ECG Test ","Char","(EGMETHOD)","Record Qualifier","Perm"
"24","Findings","EG","EGBLFL","Baseline Flag","Char","(NY)","Record Qualifier","Exp"
"25","Findings","EG","EGDRVFL","Derived Flag","Char","(NY)","Record Qualifier","Perm"
"26","Findings","EG","EGEVAL","Evaluator","Char","","Record Qualifier","Perm"
"27","Findings","EG","VISITNUM","Visit Number","Num","","Timing","Exp"
"28","Findings","EG","VISIT","Visit Name","Char","","Timing","Perm"
"29","Findings","EG","VISITDY","Planned Study Day of Visit","Num","","Timing","Perm"
"30","Findings","EG","EGDTC","Date/Time of ECG","Char","ISO 8601","Timing","Exp"
"31","Findings","EG","EGDY","Study Day of ECG","Num","","Timing","Perm"
"32","Findings","EG","EGTPT","Planned Time Point Name","Char","","Timing","Perm"
"33","Findings","EG","EGTPTNUM","Planned Time Point Number","Num","","Timing","Perm"
"34","Findings","EG","EGELTM","Planned Elapsed Time from Time Point Ref","Char","ISO 8601","Timing","Perm"
"35","Findings","EG","EGTPTREF","Time Point Reference","Char","","Timing","Perm"
"36","Findings","EG","EGRFTDTC","Date/Time of Reference Time Point","Char","ISO 8601","Timing","Perm"
"1","Findings","IE","STUDYID","Study Identifier","Char","","Identifier","Req"
"2","Findings","IE","DOMAIN","Domain Abbreviation","Char","(DOMAIN)","Identifier","Req"
"3","Findings","IE","USUBJID","Unique Subject Identifier","Char","","Identifier","Req"
"4","Findings","IE","IESEQ","Sequence Number","Num","","Identifier","Req"
"5","Findings","IE","IESPID","Sponsor-Defined Identifier","Char","","Identifier","Perm"
"6","Findings","IE","IETESTCD","Inclusion/Exclusion Criterion Short Name","Char","","Topic","Req"
"7","Findings","IE","IETEST","Inclusion/Exclusion Criterion ","Char","","Synonym Qualifier","Req"
"8","Findings","IE","IECAT","Inclusion/Exclusion Category","Char","(IECAT)","Grouping Qualifier","Req"
"9","Findings","IE","IESCAT","Inclusion/Exclusion Subcategory","Char","","Grouping Qualifier","Perm"
"10","Findings","IE","IEORRES","I/E Criterion Original Result","Char","(NY)","Result Qualifier","Req"
"11","Findings","IE","IESTRESC","I/E Criterion Result in Std Format ","Char","(NY)","Result Qualifier","Req"
"12","Findings","IE","VISITNUM","Visit Number","Num","","Timing","Perm"
"13","Findings","IE","VISIT","Visit Name","Char","","Timing","Perm"
"14","Findings","IE","VISITDY","Planned Study Day of Visit","Num","","Timing","Perm"
"15","Findings","IE","IEDTC","Date/Time of Collection","Char","ISO 8601","Timing","Perm"
"16","Findings","IE","IEDY","Study Day of Collection","Num","","Timing","Perm"
"1","Findings","IS","STUDYID","Study Identifier","Char","","Identifier","Req"
"2","Findings","IS","DOMAIN","Domain Abbreviation","Char","(DOMAIN)","Identifier","Req"
"3","Findings","IS","USUBJID","Unique Subject Identifier","Char","","Identifier","Req"
"4","Findings","IS","ISSEQ","Sequence Number","Char","","Identifier","Req"
"5","Findings","IS","ISGRPID","Group ID","Num","","Identifier","Perm"
"6","Findings","IS","ISREFID","Reference ID","Char","","Identifier","Perm"
"7","Findings","IS","ISSPID","Sponsor-Defined Identifier","Char","","Identifier","Perm"
"8","Findings","IS","ISTESTCD","Immunogenicity Test/Exam Short Name","Char","","Identifier","Req"
"9","Findings","IS","ISTEST","Immunogenicity Test or Examination Name","Char","","Topic","Req"
"10","Findings","IS","ISCAT","Category for Immunogenicity Test","Char","","Synonym Qualifier","Perm"
"11","Findings","IS","ISSCAT","Subcategory for Immunogenicity Test","Char","","Grouping Qualifier","Perm"
"12","Findings","IS","ISORRES","Results or Findings in Original Units","Char","","Result Qualifier","Exp"
"13","Findings","IS","ISORRESU","Original Units","Char","(UNIT)","Variable Qualifier","Exp"
"14","Findings","IS","ISSTRESC","Character Results/Findings in Std. Format  ","Char","","Result Qualifier ","Exp"
"15","Findings","IS","ISSTRESN","Numeric Results/Findings in Std. Units  ","Num","","Result Qualifier","Exp"
"16","Findings","IS","ISSTRESU","Standard Units","Char","(UNIT)","Variable Qualifier","Exp"
"17","Findings","IS","ISSTAT","Completion Status","Char","(ND)","Record Qualifier","Perm"
"18","Findings","IS","ISREASND","Reason Not Done","Char","","Record Qualifier","Perm"
"19","Findings","IS","ISNAM","Vendor Name","Char","","Record Qualifier","Perm"
"20","Findings","IS","ISSPEC","Specimen Type  ","Char","(SPECTYPE)","Record Qualifier","Perm"
"21","Findings","IS","ISMETHOD","Method of Test or Examination","Char","","Record Qualifier","Perm"
"22","Findings","IS","ISBLFL","Baseline Flag","Char","(NY)","Record Qualifier","Perm"
"23","Findings","IS","ISLLOQ","Lower Limit of Quantitation","Num","","Variable Qualifier","Exp"
"24","Findings","IS","VISITNUM","Visit Number","Num","","Timing","Exp"
"25","Findings","IS","VISIT","Visit Name","Char","","Timing","Perm"
"26","Findings","IS","VISITDY","Planned Study Day of Visit","Num","","Timing","Perm"
"27","Findings","IS","ISDTC","Date/Time of Collection","Char","ISO 8601","Timing","Exp"
"28","Findings","IS","ISDY","Study Day of Visit/Collection/Exam","Num","","Timing","Perm"
"1","Findings","LB","STUDYID","Study Identifier","Char","","Identifier","Req"
"2","Findings","LB","DOMAIN","Domain Abbreviation","Char","(DOMAIN)","Identifier","Req"
"3","Findings","LB","USUBJID","Unique Subject Identifier","Char","","Identifier","Req"
"4","Findings","LB","LBSEQ","Sequence Number","Num","","Identifier","Req"
"5","Findings","LB","LBGRPID","Group ID","Char","","Identifier","Perm"
"6","Findings","LB","LBREFID","Specimen ID","Char","","Identifier","Perm"
"7","Findings","LB","LBSPID","Sponsor-Defined Identifier","Char","","Identifier","Perm"
"8","Findings","LB","LBTESTCD","Lab Test or Examination Short Name","Char","(LBTESTCD)","Topic","Req"
"9","Findings","LB","LBTEST","Lab Test or Examination Name","Char","(LBTEST)","Synonym Qualifier","Req"
"10","Findings","LB","LBCAT","Category for Lab Test","Char","","Grouping Qualifier","Exp"
"11","Findings","LB","LBSCAT","Subcategory for Lab Test","Char","","Grouping Qualifier","Perm"
"12","Findings","LB","LBORRES","Result or Finding in Original Units","Char","","Result Qualifier","Exp"
"13","Findings","LB","LBORRESU","Original Units","Char","(UNIT)","Variable Qualifier ","Exp"
"14","Findings","LB","LBORNRLO","Reference Range Lower Limit in Orig Unit","Char","","Variable Qualifier","Exp"
"15","Findings","LB","LBORNRHI","Reference Range Upper Limit in Orig Unit","Char","","Variable Qualifier","Exp"
"16","Findings","LB","LBSTRESC","Character Result/Finding in Std Format","Char","(LBSTRESC)","Result Qualifier","Exp"
"17","Findings","LB","LBSTRESN","Numeric Result/Finding in Standard Units","Num","","Result Qualifier","Exp"
"18","Findings","LB","LBSTRESU","Standard Units","Char","(UNIT)","Variable Qualifier","Exp"
"19","Findings","LB","LBSTNRLO","Reference Range Lower Limit-Std Units","Num","","Variable Qualifier","Exp"
"20","Findings","LB","LBSTNRHI","Reference Range Upper Limit-Std Units","Num","","Variable Qualifier","Exp"
"21","Findings","LB","LBSTNRC","Reference Range for Char Rslt-Std Units","Char","","Variable Qualifier","Perm"
"22","Findings","LB","LBNRIND","Reference Range Indicator","Char","(NRIND)","Variable Qualifier","Exp"
"23","Findings","LB","LBSTAT","Completion Status","Char","(ND)","Record Qualifier","Perm"
"24","Findings","LB","LBREASND","Reason Test Not Done ","Char","","Record Qualifier","Perm"
"25","Findings","LB","LBNAM","Vendor Name","Char","","Record Qualifier","Perm"
"26","Findings","LB","LBLOINC","LOINC Code","Char","","Synonym Qualifier","Perm"
"27","Findings","LB","LBSPEC","Specimen Type","Char","(SPECTYPE)","Record Qualifier","Perm"
"28","Findings","LB","LBSPCCND","Specimen Condition","Char","(SPECCOND)","Record Qualifier","Perm"
"29","Findings","LB","LBMETHOD","Method of Test or Examination","Char","(METHOD)","Record Qualifier","Perm"
"30","Findings","LB","LBBLFL","Baseline Flag","Char","(NY)","Record Qualifier","Exp"
"31","Findings","LB","LBFAST","Fasting Status","Char","(NY)","Record Qualifier","Perm"
"32","Findings","LB","LBDRVFL","Derived Flag","Char","(NY)","Record Qualifier","Perm"
"33","Findings","LB","LBTOX","Toxicity ","Char","","Variable Qualifier","Perm"
"34","Findings","LB","LBTOXGR","Standard Toxicity Grade","Char","","Variable Qualifier","Perm"
"35","Findings","LB","VISITNUM","Visit Number","Num","","Timing","Exp"
"36","Findings","LB","VISIT","Visit Name","Char","","Timing","Perm"
"37","Findings","LB","VISITDY","Planned Study Day of Visit","Num","","Timing","Perm"
"38","Findings","LB","LBDTC","Date/Time of Specimen Collection","Char","ISO 8601","Timing","Exp"
"39","Findings","LB","LBENDTC","End Date/Time of Specimen Collection","Char","ISO 8601","Timing","Perm"
"40","Findings","LB","LBDY","Study Day of Specimen Collection","Num","","Timing","Perm"
"41","Findings","LB","LBTPT","Planned Time Point Name","Char","","Timing","Perm"
"42","Findings","LB","LBTPTNUM","Planned Time Point Number","Num","","Timing","Perm"
"43","Findings","LB","LBELTM","Planned Elapsed Time from Time Point Ref","Char","ISO 8601","Timing","Perm"
"44","Findings","LB","LBTPTREF","Time Point Reference ","Char","","Timing","Perm"
"45","Findings","LB","LBRFTDTC","Date/Time of Reference Time Point","Char","ISO 8601","Timing","Perm"
"1","Findings","MB","STUDYID","Study Identifier","Char","","Identifier","Req"
"2","Findings","MB","DOMAIN","Domain Abbreviation","Char","(DOMAIN)","Identifier","Req"
"3","Findings","MB","USUBJID","Unique Subject Identifier","Char","","Identifier","Req"
"4","Findings","MB","MBSEQ","Sequence Number","Num","","Identifier","Req"
"5","Findings","MB","MBGRPID","Group ID","Char","","Identifier","Exp"
"6","Findings","MB","MBREFID","Reference ID","Char","","Identifier","Perm"
"7","Findings","MB","MBSPID","Sponsor-Defined Identifier","Char","","Identifier","Perm"
"8","Findings","MB","MBTESTCD","Microbiology Test or Finding Short Name ","Char","","Topic","Req"
"9","Findings","MB","MBTEST","Microbiology Test or Finding Name","Char","","Synonym Qualifier","Req"
"10","Findings","MB","MBCAT","Category for Microbiology Finding","Char","","Grouping Qualifier","Perm"
"11","Findings","MB","MBSCAT","Subcategory for Microbiology Finding","Char","","Grouping Qualifier","Perm"
"12","Findings","MB","MBORRES","Result or Finding in Original Units","Char","","Result Qualifier","Exp"
"13","Findings","MB","MBORRESU","Original Units","Char","(UNIT)","Variable Qualifier ","Perm"
"14","Findings","MB","MBSTRESC","Character Result/Finding in Std Format","Char","","Result Qualifier","Exp"
"15","Findings","MB","MBSTRESN","Numeric Result/Finding in Standard Units","Num","","Result Qualifier","Perm"
"16","Findings","MB","MBSTRESU","Standard Units","Char","(UNIT)","Variable Qualifier","Perm"
"17","Findings","MB","MBRESCAT","Result Category","Char","","Variable Qualifier","Exp"
"18","Findings","MB","MBSTAT","Completion Status","Char","(ND)","Record Qualifier","Perm"
"19","Findings","MB","MBREASND","Reason Microbiology Not Performed","Char","","Record Qualifier","Perm"
"20","Findings","MB","MBNAM","Vendor Name","Char","","Record Qualifier","Perm"
"21","Findings","MB","MBLOINC","LOINC Code","Char","","Synonym Qualifier","Perm"
"22","Findings","MB","MBSPEC","Specimen Type","Char","(SPECTYPE)","Record Qualifier","Perm"
"23","Findings","MB","MBSPCCND","Specimen Condition","Char","(SPECCOND)","Record Qualifier","Perm"
"24","Findings","MB","MBLOC","Specimen Collection Location","Char","(LOC)","Record Qualifier","Perm"
